field_ID,N_pixels,hectares,yield_tonnes
1,1035,1.035,93.14999999999999
2,770,0.77,69.3
3,669,0.669,60.21
4,429,0.429,38.61
5,500,0.5,45.0
6,1223,1.223,110.07000000000001
7,434,0.434,39.06
8,382,0.382,34.38
9,572,0.572,51.48
10,1975,1.975,177.75
11,378,0.378,34.02
12,264,0.264,23.76
13,402,0.402,36.18
14,656,0.656,59.04
15,702,0.702,63.17999999999999
16,1556,1.556,140.04
17,511,0.511,45.99
18,188,0.188,16.92
19,346,0.346,31.139999999999997
20,880,0.88,79.2
21,232,0.232,20.880000000000003
22,214,0.214,19.259999999999998
23,295,0.295,26.549999999999997
24,256,0.256,23.04
25,413,0.413,37.169999999999995
26,215,0.215,19.35
27,841,0.841,75.69
28,465,0.465,41.85
29,571,0.571,51.38999999999999
30,199,0.199,17.91
31,307,0.307,27.63
